filename, language, JSON, SQL, Markdown, JavaScript, CSS, HTML, comment, blank, total
README.md, Markdown, 0, 0, 37, 0, 0, 0, 0, 32, 69
db\create_expenses.sql, SQL, 0, 50, 0, 0, 0, 0, 47, 2, 99
db\create_user_budget.sql, SQL, 0, 4, 0, 0, 0, 0, 0, 1, 5
db\delete_user_budget.sql, SQL, 0, 4, 0, 0, 0, 0, 0, 2, 6
db\find_email.sql, SQL, 0, 6, 0, 0, 0, 0, 0, 0, 6
db\find_user_budgets.sql, SQL, 0, 7, 0, 0, 0, 0, 0, 0, 7
db\find_user_info.sql, SQL, 0, 6, 0, 0, 0, 0, 8, 1, 15
db\get_budgets.sql, SQL, 0, 2, 0, 0, 0, 0, 0, 1, 3
db\get_expenses.sql, SQL, 0, 2, 0, 0, 0, 0, 0, 0, 2
db\insert_user_info.sql, SQL, 0, 3, 0, 0, 0, 0, 0, 1, 4
db\join_all_tables.sql, SQL, 0, 9, 0, 0, 0, 0, 0, 0, 9
db\join_all_user_budgets.sql, SQL, 0, 3, 0, 0, 0, 0, 0, 0, 3
db\seed.sql, SQL, 0, 240, 0, 0, 0, 0, 0, 1, 241
db\select_user_budget.sql, SQL, 0, 3, 0, 0, 0, 0, 0, 1, 4
db\update_expenses.sql, SQL, 0, 28, 0, 0, 0, 0, 0, 1, 29
package-lock.json, JSON, 13253, 0, 0, 0, 0, 0, 0, 1, 13254
package.json, JSON, 44, 0, 0, 0, 0, 0, 0, 1, 45
public\index.html, HTML, 0, 0, 0, 0, 0, 20, 23, 1, 44
public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 0, 1, 26
server\controllers\authController.js, JavaScript, 0, 0, 0, 58, 0, 0, 2, 5, 65
server\controllers\budgetController.js, JavaScript, 0, 0, 0, 155, 0, 0, 3, 5, 163
server\server.js, JavaScript, 0, 0, 0, 33, 0, 0, 0, 5, 38
src\App.css, CSS, 0, 0, 0, 0, 15, 0, 0, 1, 16
src\App.js, JavaScript, 0, 0, 0, 36, 0, 0, 0, 3, 39
src\components\AllBudgets\AllBudgets.js, JavaScript, 0, 0, 0, 161, 0, 0, 115, 11, 287
src\components\CreateBudget\CreateBudget.js, JavaScript, 0, 0, 0, 52, 0, 0, 5, 6, 63
src\components\DashBoard\Dashboard.js, JavaScript, 0, 0, 0, 103, 0, 0, 6, 15, 124
src\components\DashBoard\DashboardStyle.js, JavaScript, 0, 0, 0, 9, 0, 0, 0, 1, 10
src\components\LandingPage\Landing.js, JavaScript, 0, 0, 0, 74, 0, 0, 0, 8, 82
src\components\LandingPage\LandingPage.js, JavaScript, 0, 0, 0, 105, 0, 0, 4, 8, 117
src\components\Nav\Nav.js, JavaScript, 0, 0, 0, 26, 0, 0, 1, 4, 31
src\components\OneBudget\OneBudget.js, JavaScript, 0, 0, 0, 12, 0, 0, 0, 3, 15
src\ducks\reducer.js, JavaScript, 0, 0, 0, 30, 0, 0, 4, 6, 40
src\index.css, CSS, 0, 0, 0, 0, 12, 0, 0, 3, 15
src\index.js, JavaScript, 0, 0, 0, 15, 0, 0, 3, 3, 21
src\routes.js, JavaScript, 0, 0, 0, 16, 0, 0, 0, 2, 18
src\store.js, JavaScript, 0, 0, 0, 6, 0, 0, 0, 2, 8
Total, -, 13322, 367, 37, 891, 27, 20, 221, 138, 15023